report_date,campaign_name,ad_group_name,ad_name,impressions,clicks,cost,cv,sales
2025/01/01,CPN_A,ADG_1,AD_あ,1864015,193019,2057968515,18040,73979078
2025/01/01,CPN_A,ADG_2,AD_い,2596450,336039,3027667628,19030,179195705
2025/01/01,CPN_B,ADG_3,AD_う,1608233,347634,1436634355,9706,90630893
2025/01/01,CPN_B,ADG_3,AD_え,1489349,330375,1466129438,20805,129279778
2025/01/01,CPN_C,ADG_4,AD_お,1275439,256758,1784074821,26551,288473799
2025/01/02,CPN_A,ADG_1,AD_あ,1844856,423925,2551630313,41183,163903148
2025/01/02,CPN_A,ADG_2,AD_い,2836274,316049,3019992484,30819,255083910
2025/01/02,CPN_B,ADG_3,AD_う,1301751,183634,1060786394,10800,33117923
2025/01/02,CPN_B,ADG_3,AD_え,2202804,122923,2136845964,13377,84339199
2025/01/02,CPN_C,ADG_4,AD_お,2927983,568018,2005491129,10207,125022385
2025/01/03,CPN_A,ADG_1,AD_あ,2756348,607223,1636340813,19483,95040381
2025/01/03,CPN_A,ADG_2,AD_い,1211618,175402,1793341536,9420,69877780
2025/01/03,CPN_B,ADG_3,AD_う,1266733,271280,1381151174,11450,61447951
2025/01/03,CPN_B,ADG_3,AD_え,1379721,162796,1757092119,8672,44267373
2025/01/03,CPN_C,ADG_4,AD_お,2442037,242480,2261831533,6276,28363941
2025/01/04,CPN_A,ADG_1,AD_あ,2160203,502589,2777992857,27473,145348906
2025/01/04,CPN_A,ADG_2,AD_い,1670889,193233,872396393,15262,99663588
2025/01/04,CPN_B,ADG_3,AD_う,1911796,338245,1971948258,22163,240747117
2025/01/04,CPN_B,ADG_3,AD_え,1508558,210668,1020740325,15107,109826488
2025/01/04,CPN_C,ADG_4,AD_お,1114399,189546,1151008997,11430,86447579
2025/01/05,CPN_A,ADG_1,AD_あ,1240269,280299,905703619,4033,18115893
2025/01/05,CPN_A,ADG_2,AD_い,1866158,335248,1649509664,18097,156310722
2025/01/05,CPN_B,ADG_3,AD_う,1088724,258080,1017662692,3711,29953398
